Color Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class runs in a lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class runs in a lab and Classroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online only course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Management (PM)  Courses ,,,Transcript Hours,,Business Analysis (BA)  Courses,,,Transcript Hours,,Supply Chain Management & Logistics (GLM),,,Transcript Hours,,Full Stack Web Development (FS),,,Transcript Hours,Pre-requisites,,Digital Experience Design Foundation (DXD),,,Transcript Hours,Pre-requisites,,BookKeeping Certificate ,,,Transcript Hours
,PCOM 0130,PM Capstone I - Class should be schedule twice a week half way the term,21,,,PCOM 0140,BA Capstone I - Class should be schedule twice a week half way the term,35,,,,Total Term 2 GLM Courses,86,,,CMSK??0201? ? ,Entity Framework Core Fundamentals (2hour timeslot),18, CMSK 0154 and CMSK 0200 ,,,DXDI 0104,User Interface Design II,24, DXDI 0103 ,,Term 3,ACCT 0208,Accounting for Entrepreneurs ,21
,PRDV 0206,Managing Risk on Projects,14,,,,Total Term 2 BA Courses ,70,,Term 3,SCMT 0505,Fundamentals of Supply Chain Analytics ,21,,,CMSK??0203?,???RESTful Web Services using?.NET?Core? (2 hour timeslot) ,16," CMSK 0201, recommend to run the same time as Advanced Angular CMSK202 ",,,,Total Term 2 DXD Courses,84,,,,ACCT 9901,Integrated Case Studies in Accounting,33
,,Total Term 2 PM Courses only,70,,Term 3,PRDV 0646,Solution Evaluation,14,,,PCOM 0151,"Capstone Project -  13 sessions, 3 hours each",39,,,CMSK? 0202?,??Advanced Angular? (2 hour timeslot) ,18,recommend to run the same time as RESTful Web Services (CMSK203),,Term 3,AVDM 0238,Adobe InDesign Level II,18,,,,,Total Term 3 Bookkeeping Courses,54
 Term 3,PRDV 0207,Measuring and Reporting on Project Activity,14,,,PCOM 0141,"BA Capstone Project -  13 sessions, 3 hours each",39,,,,Total Term 3 GLM Courses,60,,,,Total Term 2 FS Courses,86,,,,AVDM 0270,Adobe Illustrator Level II,18,,,,,,
,PCOM 0131,"PM Capstone Project - 13 sessions, 3 hours each",39,,,,Total Term 3 BA Courses,53,,,,,,,Term 3,PCOM 0160,Full Stack - Web Development Capstone Project?? (2 hour timeslot) ,50,"Ideally, PCOM 0160 should run AFTER all other courses are completed.   it should be at least 50 hours  as it is co-teach. ",,,DXDI 9901,DXD Capstone,45,,,,,,
,,Total Term 3 PM Courses ,53,,,,,,,,,,,,,,Total Term 3 FS Courses,50,,,,,Total Term 3 DXD Courses,81,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
